League,Week,Winner,Loser,Winner Pts,Loser Pts
BB3,6,jnappy,ProfessorD,160.4,80.16
BB3,5,jnappy,tford51,194.56,168.02
BB3,7,jnappy,ConorDeLa,141.0,92.6
BB3,1,jnappy,WestCoastNonsense,134.04,114.18
BB3,2,jnappy,Deerslayer65,163.58,128.02
BB4,4,aledo,gpeisert1,134.52,111.0
BB4,1,aledo,WestCoastNonsense,152.46,145.04
BB4,2,aledo,msbosway,169.76,133.82
BB5,6,gpeisert1,ProfessorD,162.0,160.56
BB5,3,gpeisert1,ConorDeLa,187.96,147.96
BB5,2,gpeisert1,theBandit216,162.48,156.76
BB5,4,gpeisert1,tford51,161.7,147.82
MainLeague,4,tford51,Mschmoopie,157.14,122.14
MainLeague,3,tford51,plfinken,155.47,142.38
BB1,1,koolaid403,ConorDeLa,168.7,151.84
BB1,5,koolaid403,plfinken,183.86,91.98
BB1,6,koolaid403,aledo,163.76,157.7
BB2,5,koolaid403,theBandit216,171.32,144.04
BB2,6,koolaid403,gpeisert1,188.9,164.9
BB2,7,koolaid403,Mschmoopie,186.06,114.16
BB2,2,koolaid403,tford51,181.88,159.72
QuickDraft 1,1,tford51,ProfessorD,146.3,145.18
QuickDraft 1,3,tford51,Frank1983,155.4,130.58
Quickdraft 2,4,Frank1983,aledo,153.6,91.14
Quickdraft 2,1,Frank1983,tford51,173.34,169.52
Quickdraft 2,5,Frank1983,koolaid403,152.84,130.7
BB3,7,koolaid403,theBandit216,142.06,99.16
BB3,2,koolaid403,WestCoastNonsense,128.82,93.08
BB3,3,koolaid403,jnappy,153.28,139.54
BB3,4,koolaid403,aledo,159.02,111.64
BB4,2,koolaid403,ProfessorD,195.96,150.04
BB4,1,koolaid403,gpeisert1,171.84,129.28
BB4,3,koolaid403,ConorDeLa,220.06,144.28
BB4,5,koolaid403,aledo,179.52,157.5
BB4,4,koolaid403,WestCoastNonsense,159.88,149.72
BB4,6,koolaid403,theBandit216,158.3,156.66
BB5,7,aledo,jnappy,140.46,122.7
BB5,3,aledo,WestCoastNonsense,175.28,174.32
BB5,5,aledo,Mschmoopie,165.9,140.84
MainLeague,5,ProfessorD,tford51,146.62,123.92
MainLeague,6,ProfessorD,plfinken,152.62,124.86
MainLeague,2,ProfessorD,CoryPeisert,105.24,100.08
BB1,6,ConorDeLa,ProfessorD,148.96,124.02
BB1,4,ConorDeLa,plfinken,153.8,144.06
BB1,7,ConorDeLa,aledo,173.7,151.84
BB2,4,Mschmoopie,jnappy,168.72,166.14
BB2,2,Mschmoopie,WestCoastNonsense,167.6,165.82
BB2,1,Mschmoopie,gpeisert1,161.34,137.78
BB2,3,Mschmoopie,Deerslayer65,175.78,161.94
QuickDraft 1,1,theBandit216,koolaid403,139.92,105.02
