round,roster_id,player_id,picked_by,pick_no,is_keeper,draft_slot,draft_id,years_exp,team,status,sport,position,player_id,number,news_updated,last_name,injury_status,first_name,Player Fullname
11,5,11626,735703182587600896,128,,5,1060410180510253056,0,CAR,Active,nfl,WR,11626,17,1714104625813,Legette,,Xavier,Xavier Legette
11,3,9224,987074330058113024,129,,4,1060410180510253056,1,CIN,Active,nfl,RB,9224,30,1714424720295,Brown,,Chase,Chase Brown
11,1,5022,1079146414086705152,130,,3,1060410180510253056,6,PHI,Active,nfl,TE,5022,88,1705419908036,Goedert,,Dallas,Dallas Goedert
11,12,5848,998692352560746496,131,,2,1060410180510253056,5,KC,Active,nfl,WR,5848,2,1713633051212,Brown,,Marquise,Marquise Brown
11,8,8228,564369169909952512,132,,1,1060410180510253056,2,PIT,Active,nfl,RB,8228,30,1705372802284,Warren,,Jaylen,Jaylen Warren
12,3,4981,987074330058113024,133,,1,1060410180510253056,6,TEN,Active,nfl,WR,4981,0,1711477854149,Ridley,,Calvin,Calvin Ridley
12,12,4137,998692352560746496,134,,2,1060410180510253056,7,ARI,Active,nfl,RB,4137,6,1714513821122,Conner,,James,James Conner
12,1,10235,1079146414086705152,135,,3,1060410180510253056,1,CHI,Active,nfl,RB,10235,23,1704675627424,Johnson,,Roschon,Roschon Johnson
12,3,11627,987074330058113024,136,,4,1060410180510253056,0,DEN,Active,nfl,WR,11627,,1714234832909,Franklin,,Troy,Troy Franklin
12,5,11625,735703182587600896,137,,5,1060410180510253056,0,IND,Active,nfl,WR,11625,,1714179332956,Mitchell,,Adonai,Adonai Mitchell
12,7,8210,992197862165377024,138,,6,1060410180510253056,2,TEN,Active,nfl,TE,8210,85,1704771341030,Okonkwo,,Chigoziem,Chigoziem Okonkwo
12,6,11559,990442792889405440,139,,7,1060410180510253056,0,ATL,Active,nfl,QB,11559,,1714094420333,Penix,,Michael,Michael Penix
12,10,6783,991952313524797440,140,,8,1060410180510253056,4,CLE,Active,nfl,WR,6783,3,1710881141472,Jeudy,,Jerry,Jerry Jeudy
12,4,11638,1081400535607037952,141,,9,1060410180510253056,0,SF,Active,nfl,WR,11638,,1714482016731,Pearsall,,Ricky,Ricky Pearsall
12,9,6130,857665738834558976,142,,10,1060410180510253056,5,NYG,Active,nfl,RB,6130,26,1710188703857,Singletary,,Devin,Devin Singletary
12,2,8119,564663138659733504,143,,11,1060410180510253056,2,WAS,Active,nfl,WR,8119,1,1704807044950,Dotson,,Jahan,Jahan Dotson
12,11,7600,992249754476257280,144,,12,1060410180510253056,3,PIT,Active,nfl,TE,7600,88,1712239527922,Freiermuth,,Pat,Pat Freiermuth
13,11,8131,992249754476257280,145,,12,1060410180510253056,2,BAL,Active,nfl,TE,8131,80,1708442701686,Likely,,Isaiah,Isaiah Likely
13,2,11643,564663138659733504,146,,11,1060410180510253056,0,MIA,Active,nfl,RB,11643,,1714238437431,Wright,,Jaylen,Jaylen Wright
13,9,5045,857665738834558976,147,,10,1060410180510253056,6,DEN,Active,nfl,WR,5045,14,1713550232272,Sutton,,Courtland,Courtland Sutton
13,4,8143,1081400535607037952,148,,9,1060410180510253056,2,CLE,Active,nfl,RB,8143,34,1705200636364,Ford,,Jerome,Jerome Ford
13,10,5947,991952313524797440,149,,8,1060410180510253056,5,LV,Active,nfl,WR,5947,16,1710540321514,Meyers,,Jakobi,Jakobi Meyers
13,6,2028,990442792889405440,150,,7,1060410180510253056,10,NO,Active,nfl,QB,2028,4,1708715124808,Carr,,Derek,Derek Carr
